Year,Pop,Growth,Type,Name
1950,66923000,,Region,Eastern Africa
1950,26401000,,Region,Middle Africa
1950,49222000,,Region,Northern Africa
1950,15588000,,Region,Southern Africa
1950,70769000,,Region,Western Africa
1950,228902000,,Continent,Africa
1950,340459000,,Continent,Americas
1950,17076000,,Region,Caribbean
1950,38029000,,Region,Central America
1950,171615000,,Region,Northern America
1950,226719000,,Continent,North America
1950,113739000,,Continent,South America
1950,18131000,,Region,Central Asia
1950,666586000,,Region,Eastern Asia
1950,164900000,,Region,South-eastern Asia
1950,493443000,,Region,Southern Asia
1950,50957000,,Region,Western Asia
1950,1394018000,,Continent,Asia
1950,220171000,,Region,Eastern Europe
1950,78030000,,Region,Northern Europe
1950,108633000,,Region,Southern Europe
1950,142256000,,Region,Western Europe
1950,549089000,,Continent,Europe
1950,12682000,,Continent,Oceania
1950,2525149000,,Continent,World
